bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded
True,0.72843,True,10546,0.99074,-7.13910,0,False,Sailfish,30,75,0.97203,0.94771,False
True,0.85866,True,10542,0.88177,-3.99172,10,False,Sailfish,30,75,0.99080,0.42876,False
True,0.73836,True,10442,0.99034,-7.62062,0,False,Sailfish,30,100,0.96581,0.94882,False
True,0.86700,True,10594,0.87902,-5.87392,10,False,Sailfish,30,100,0.98848,0.43084,False
True,0.68209,True,10522,0.97502,-1.86121,0,False,Cufflinks,30,50,0.96940,0.96609,True
True,0.80276,True,10510,0.90664,-4.17641,10,False,Cufflinks,30,50,0.97973,0.67474,True
True,0.77090,True,10524,0.97391,-3.57889,0,False,Cufflinks,30,75,0.96256,0.96769,True
True,0.81271,True,10556,0.90824,0.58268,10,False,Cufflinks,30,75,0.97954,0.67205,True
True,0.86675,True,10559,0.95795,-9.74792,0,False,Cufflinks,30,100,0.95435,0.97113,True
True,0.77255,True,10534,0.92347,-0.36750,10,False,Cufflinks,30,100,0.97361,0.68873,True
True,0.94089,True,10522,0.98272,-39.85428,0,False,Salmon,30,50,0.96531,0.94484,True
True,0.94063,True,10510,0.88278,-32.21296,10,False,Salmon,30,50,0.98696,0.45890,True
True,0.90859,True,10524,0.98521,-33.31317,0,False,Salmon,30,75,0.96361,0.95363,True
True,0.92791,True,10556,0.88118,-27.54750,10,False,Salmon,30,75,0.98636,0.44663,True
True,0.87404,True,10559,0.98656,-29.02201,0,False,Salmon,30,100,0.96098,0.96014,True
True,0.91418,True,10534,0.89252,-23.33679,10,False,Salmon,30,100,0.98443,0.45235,True
True,0.73864,True,10522,0.99019,-3.31605,0,False,RSEM,30,50,0.97700,0.95901,True
True,0.79363,True,10510,0.89680,0.46536,10,False,RSEM,30,50,0.99096,0.45654,True
True,0.74344,True,10524,0.99033,-4.86212,0,False,RSEM,30,75,0.97016,0.95524,True
True,0.79793,True,10556,0.89991,-3.27026,10,False,RSEM,30,75,0.98986,0.47011,True
True,0.74865,True,10559,0.98889,-11.56494,0,False,RSEM,30,100,0.96392,0.96315,True
True,0.82799,True,10534,0.91750,-9.06036,10,False,RSEM,30,100,0.98538,0.50059,True
True,0.58658,True,10522,0.98814,-4.27937,0,False,Kallisto,30,50,0.97805,0.91705,True
True,0.85709,True,10510,0.89015,-3.62527,10,False,Kallisto,30,50,0.99144,0.42825,True
True,0.59920,True,10524,0.98920,-4.39920,0,False,Kallisto,30,75,0.97045,0.93464,True
True,0.84701,True,10556,0.89026,-4.11153,10,False,Kallisto,30,75,0.99015,0.42822,True
True,0.63756,True,10559,0.98902,-5.80785,0,False,Kallisto,30,100,0.96477,0.94333,True
True,0.84213,True,10534,0.89869,-4.23914,10,False,Kallisto,30,100,0.98842,0.43301,True
True,0.78141,True,10522,0.98859,-16.34631,0,False,Express,30,50,0.94459,0.95075,True
True,0.88449,True,10510,0.87739,-7.19668,10,False,Express,30,50,0.98716,0.35955,True
True,0.75893,True,10524,0.98896,-13.86250,0,False,Express,30,75,0.93624,0.94859,True
True,0.87135,True,10556,0.87319,-5.36726,10,False,Express,30,75,0.98503,0.36586,True
True,0.76759,True,10559,0.98721,-13.74445,0,False,Express,30,100,0.92812,0.95572,True
True,0.86520,True,10534,0.88482,-4.29315,10,False,Express,30,100,0.98272,0.37982,True
True,0.75033,True,10522,0.98918,-11.07020,0,False,Sailfish,30,50,0.97700,0.93959,True
True,0.86955,True,10510,0.88661,-5.45929,10,False,Sailfish,30,50,0.99144,0.43832,True
True,0.73024,True,10524,0.99087,-8.60526,0,False,Sailfish,30,75,0.97140,0.94655,True
True,0.85269,True,10556,0.88383,-5.76410,10,False,Sailfish,30,75,0.98958,0.43080,True
True,0.72725,True,10559,0.99104,-8.53749,0,False,Sailfish,30,100,0.96894,0.95551,True
True,0.84878,True,10534,0.89488,-3.82156,10,False,Sailfish,30,100,0.98766,0.43580,True
True,0.73729,True,10487,0.97628,-4.18107,0,True,Cufflinks,10,50,0.92038,0.97124,False
True,0.77855,True,10508,0.92664,-0.10742,10,True,Cufflinks,10,50,0.95622,0.69806,False
True,0.70938,True,10481,0.97408,-3.43261,0,True,Cufflinks,10,75,0.90478,0.97457,False
True,0.77873,True,10530,0.92483,-0.65554,10,True,Cufflinks,10,75,0.94236,0.71399,False
True,0.74613,True,10474,0.97379,-3.91555,0,True,Cufflinks,10,100,0.88304,0.97769,False
True,0.78527,True,10483,0.92846,-0.62704,10,True,Cufflinks,10,100,0.93342,0.73028,False
True,0.80414,True,10487,0.98110,-12.38217,0,True,Salmon,10,50,0.92791,0.96055,False
True,0.89237,True,10508,0.85883,-4.84348,10,True,Salmon,10,50,0.97992,0.43791,False
True,0.80469,True,10481,0.97655,-12.49471,0,True,Salmon,10,75,0.91528,0.96549,False
True,0.88718,True,10530,0.86479,-5.04107,10,True,Salmon,10,75,0.97341,0.45097,False
True,0.82452,True,10474,0.97368,-13.04180,0,True,Salmon,10,100,0.89584,0.96691,False
True,0.88467,True,10483,0.87422,-6.78659,10,True,Salmon,10,100,0.96690,0.47873,False
True,0.80700,True,10487,0.98339,-17.08475,0,True,RSEM,10,50,0.92743,0.93682,False
True,0.85221,True,10508,0.91405,-10.44963,10,True,RSEM,10,50,0.97126,0.53488,False
True,0.79992,True,10481,0.97953,-8.74611,0,True,RSEM,10,75,0.91508,0.92628,False
True,0.83514,True,10530,0.91827,-4.65802,10,True,RSEM,10,75,0.96059,0.56621,False
True,0.81010,True,10474,0.97671,-11.64085,0,True,RSEM,10,100,0.88810,0.94064,False
True,0.82505,True,10483,0.92625,-5.10337,10,True,RSEM,10,100,0.94687,0.60601,False
True,0.73710,True,10487,0.98837,-8.61432,0,True,Kallisto,10,50,0.92848,0.96857,False
True,0.88371,True,10508,0.86092,-6.19429,10,True,Kallisto,10,50,0.97982,0.44327,False
True,0.73791,True,10481,0.98606,-7.94689,0,True,Kallisto,10,75,0.91413,0.97436,False
True,0.86971,True,10530,0.86765,-5.82232,10,True,Kallisto,10,75,0.97341,0.45323,False
True,0.76179,True,10474,0.98370,-8.37879,0,True,Kallisto,10,100,0.89488,0.97662,False
True,0.87256,True,10483,0.87674,-7.39930,10,True,Kallisto,10,100,0.96709,0.48162,False
True,0.78697,True,10487,0.97973,-12.69170,0,True,Express,10,50,0.90665,0.90068,False
True,0.83327,True,10508,0.90998,-6.26541,10,True,Express,10,50,0.96355,0.52695,False
True,0.81080,True,10481,0.97509,-12.42767,0,True,Express,10,75,0.90135,0.90224,False
True,0.83210,True,10530,0.90987,-6.56523,10,True,Express,10,75,0.95356,0.54312,False
True,0.78871,True,10474,0.97340,-11.80672,0,True,Express,10,100,0.87903,0.90221,False
True,0.83612,True,10483,0.91536,-7.46281,10,True,Express,10,100,0.94238,0.57363,False
True,0.82931,True,10487,0.98761,-21.02609,0,True,Sailfish,10,50,0.92705,0.96964,False
True,0.92139,True,10508,0.86119,-19.67314,10,True,Sailfish,10,50,0.97906,0.44852,False
True,0.78695,True,10481,0.98535,-15.06099,0,True,Sailfish,10,75,0.91403,0.97350,False
True,0.90722,True,10530,0.86711,-15.43802,10,True,Sailfish,10,75,0.97312,0.45742,False
True,0.83111,True,10474,0.98298,-20.40812,0,True,Sailfish,10,100,0.89460,0.97662,False
True,0.91233,True,10483,0.87634,-18.33184,10,True,Sailfish,10,100,0.96623,0.48782,False
True,0.73416,True,10514,0.97467,-3.18593,0,True,Cufflinks,10,50,0.91754,0.97673,True
True,0.76861,True,10493,0.93342,-1.47037,10,True,Cufflinks,10,50,0.95730,0.72443,True
True,0.73966,True,10513,0.97533,-2.04352,0,True,Cufflinks,10,75,0.90726,0.97963,True
True,0.79989,True,10534,0.92035,-0.15546,10,True,Cufflinks,10,75,0.94105,0.73407,True
True,0.76985,True,10628,0.97082,-3.78072,0,True,Cufflinks,10,100,0.88822,0.98307,True
True,0.79476,True,10568,0.92536,-0.94189,10,True,Cufflinks,10,100,0.93121,0.74798,True
True,0.77630,True,10514,0.97935,-8.69943,0,True,Salmon,10,50,0.92714,0.96258,True
True,0.88002,True,10493,0.87200,-6.03347,10,True,Salmon,10,50,0.98027,0.45454,True
True,0.81518,True,10513,0.97852,-13.99702,0,True,Salmon,10,75,0.91677,0.96945,True
True,0.88618,True,10534,0.86535,-6.70724,10,True,Salmon,10,75,0.97380,0.45686,True
True,0.81201,True,10628,0.97597,-12.55177,0,True,Salmon,10,100,0.90026,0.97069,True
True,0.88389,True,10568,0.87749,-6.10378,10,True,Salmon,10,100,0.96915,0.48010,True
True,0.78400,True,10514,0.98345,-11.35746,0,True,RSEM,10,50,0.92125,0.96655,True
True,0.82474,True,10493,0.92493,-6.73985,10,True,RSEM,10,50,0.97322,0.56536,True
True,0.79977,True,10513,0.98124,-15.28884,0,True,RSEM,10,75,0.91192,0.96913,True
True,0.81849,True,10534,0.92056,-4.32047,10,True,RSEM,10,75,0.96108,0.59052,True
True,0.80203,True,10628,0.97779,-11.55241,0,True,RSEM,10,100,0.89104,0.96776,True
True,0.82702,True,10568,0.92753,-6.23691,10,True,RSEM,10,100,0.94862,0.63097,True
True,0.71657,True,10514,0.98777,-5.14631,0,True,Kallisto,10,50,0.92667,0.96805,True
True,0.86925,True,10493,0.87463,-6.61474,10,True,Kallisto,10,50,0.97989,0.45550,True
True,0.74869,True,10513,0.98666,-10.86798,0,True,Kallisto,10,75,0.91686,0.97459,True
True,0.88058,True,10534,0.86788,-7.60847,10,True,Kallisto,10,75,0.97399,0.45847,True
True,0.74454,True,10628,0.98442,-8.72889,0,True,Kallisto,10,100,0.89942,0.97558,True
True,0.87178,True,10568,0.87929,-7.22134,10,True,Kallisto,10,100,0.96915,0.48204,True
True,0.75984,True,10514,0.98191,-9.54899,0,True,Express,10,50,0.90651,0.94103,True
True,0.81721,True,10493,0.92243,-6.38962,10,True,Express,10,50,0.96512,0.55499,True
True,0.80405,True,10513,0.97841,-12.89944,0,True,Express,10,75,0.90184,0.94125,True
True,0.86045,True,10534,0.90180,-4.27927,10,True,Express,10,75,0.95586,0.57151,True
True,0.84371,True,10628,0.97164,-16.42830,0,True,Express,10,100,0.88361,0.93802,True
True,0.84992,True,10568,0.91176,-4.40458,10,True,Express,10,100,0.94701,0.59118,True
True,0.77601,True,10514,0.98724,-14.82453,0,True,Sailfish,10,50,0.92591,0.96816,True
True,0.90575,True,10493,0.87517,-15.73190,10,True,Sailfish,10,50,0.97989,0.46042,True
True,0.83554,True,10513,0.98602,-22.28484,0,True,Sailfish,10,75,0.91696,0.97481,True
