bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded
True,0.91857,True,10623,0.89898,-25.75124,10,False,Salmon,50,100,0.99002,0.50141,False
True,0.24877,True,10556,0.99700,-2.50160,0,False,RSEM,50,50,0.98408,0.98288,False
True,0.84267,True,10551,0.91326,-8.90436,10,False,RSEM,50,50,0.99156,0.47675,False
True,0.27956,True,10606,0.99760,-2.01840,0,False,RSEM,50,75,0.98623,0.97759,False
True,0.82422,True,10519,0.91549,-8.60692,10,False,RSEM,50,75,0.99182,0.49464,False
True,0.81148,True,10503,0.99537,-15.94193,0,False,RSEM,50,100,0.98467,0.98469,False
True,0.90690,True,10623,0.93025,-20.36151,10,False,RSEM,50,100,0.99228,0.53081,False
True,0.63073,True,10556,0.99448,-4.94194,0,False,Kallisto,50,50,0.98626,0.97652,False
True,0.79784,True,10551,0.91411,-4.24721,10,False,Kallisto,50,50,0.99299,0.48439,False
True,0.64577,True,10606,0.99504,-4.01297,0,False,Kallisto,50,75,0.98727,0.97509,False
True,0.79513,True,10519,0.90832,-3.94299,10,False,Kallisto,50,75,0.99287,0.48273,False
True,0.64991,True,10503,0.99268,-5.37065,0,False,Kallisto,50,100,0.98829,0.97826,False
True,0.79478,True,10623,0.91642,-4.86937,10,False,Kallisto,50,100,0.99416,0.49013,False
True,0.77160,True,10556,0.99027,-17.09804,0,False,Express,50,50,0.94941,0.98244,False
True,0.87224,True,10551,0.89075,-8.59180,10,False,Express,50,50,0.98853,0.34144,False
True,0.74147,True,10606,0.99105,-13.11854,0,False,Express,50,75,0.95182,0.98224,False
True,0.86073,True,10519,0.88346,-5.03308,10,False,Express,50,75,0.98916,0.34649,False
True,0.73398,True,10503,0.99068,-13.46108,0,False,Express,50,100,0.95316,0.98544,False
True,0.84816,True,10623,0.89772,-5.97550,10,False,Express,50,100,0.98965,0.36082,False
True,0.68208,True,10556,0.99118,-9.48113,0,False,Sailfish,50,50,0.98105,0.97523,False
True,0.86741,True,10551,0.89692,-9.49837,10,False,Sailfish,50,50,0.98976,0.48493,False
True,0.64888,True,10606,0.99302,-6.41976,0,False,Sailfish,50,75,0.98454,0.97152,False
True,0.85531,True,10519,0.89187,-6.99677,10,False,Sailfish,50,75,0.99135,0.47737,False
True,0.64563,True,10503,0.99147,-6.16768,0,False,Sailfish,50,100,0.98753,0.97655,False
True,0.84364,True,10623,0.89994,-7.46516,10,False,Sailfish,50,100,0.99350,0.47136,False
True,0.88939,True,10460,0.94373,-7.47380,0,False,Cufflinks,50,50,0.96549,0.97985,True
True,0.82001,True,10656,0.90872,5.33941,10,False,Cufflinks,50,50,0.97992,0.70354,True
True,0.67718,True,10588,0.97830,-1.26113,0,False,Cufflinks,50,75,0.98092,0.98076,True
True,0.81667,True,10582,0.91763,2.38648,10,False,Cufflinks,50,75,0.98110,0.72222,True
True,0.66287,True,10530,0.97872,-1.83282,0,False,Cufflinks,50,100,0.97816,0.98292,True
True,0.87515,True,10621,0.89506,7.07721,10,False,Cufflinks,50,100,0.97571,0.74154,True
True,0.91568,True,10460,0.98102,-33.88007,0,False,Salmon,50,50,0.96759,0.97783,True
True,0.93910,True,10656,0.89235,-38.74899,10,False,Salmon,50,50,0.98452,0.51181,True
True,0.87410,True,10588,0.98226,-29.41717,0,False,Salmon,50,75,0.97535,0.97579,True
True,0.91930,True,10582,0.90003,-26.72964,10,False,Salmon,50,75,0.98668,0.51442,True
True,0.82137,True,10530,0.98491,-23.43740,0,False,Salmon,50,100,0.97540,0.97476,True
True,0.90980,True,10621,0.89571,-22.89546,10,False,Salmon,50,100,0.98767,0.52169,True
True,0.31597,True,10460,0.99441,-3.80474,0,False,RSEM,50,50,0.98423,0.98380,True
True,0.83878,True,10656,0.90547,-8.89035,10,False,RSEM,50,50,0.99212,0.49995,True
True,0.37269,True,10588,0.99482,-3.58554,0,False,RSEM,50,75,0.98848,0.98011,True
True,0.79446,True,10582,0.92112,-6.62588,10,False,RSEM,50,75,0.99206,0.52911,True
True,0.68376,True,10530,0.99609,-13.05284,0,False,RSEM,50,100,0.98215,0.98217,True
True,0.82836,True,10621,0.92773,-11.04664,10,False,RSEM,50,100,0.99143,0.55597,True
True,0.63059,True,10460,0.99276,-6.93738,0,False,Kallisto,50,50,0.98518,0.97612,True
